Descriptores,2008|Artes visuales y plásticas,2008|Artes escénicas y espectáculos,2008|Música y conciertos,"2008|Libros, impresiones y prensa",2008|Medios audiovisuales,2008|Artesanías,2008|Diseño y servicios creativos,2008|Patrimonio cutural y natural,2008|Formación y difusión cultural,2008|Contenidos digitales e internet,2008|Total cultura,2008|Valor agregado bruto,2009|Artes visuales y plásticas,2009|Artes escénicas y espectáculos,2009|Música y conciertos,"2009|Libros, impresiones y prensa",2009|Medios audiovisuales,2009|Artesanías,2009|Diseño y servicios creativos,2009|Patrimonio cutural y natural,2009|Formación y difusión cultural,2009|Contenidos digitales e internet,2009|Total cultura,2009|Valor agregado bruto,2010|Artes visuales y plásticas,2010|Artes escénicas y espectáculos,2010|Música y conciertos,"2010|Libros, impresiones y prensa",2010|Medios audiovisuales,2010|Artesanías,2010|Diseño y servicios creativos,2010|Patrimonio cutural y natural,2010|Formación y difusión cultural,2010|Contenidos digitales e internet,2010|Total cultura,2010|Valor agregado bruto,2011|Artes visuales y plásticas,2011|Artes escénicas y espectáculos,2011|Música y conciertos,"2011|Libros, impresiones y prensa",2011|Medios audiovisuales,2011|Artesanías,2011|Diseño y servicios creativos,2011|Patrimonio cutural y natural,2011|Formación y difusión cultural,2011|Contenidos digitales e internet,2011|Total cultura,2011|Valor agregado bruto,2012|Artes visuales y plásticas,2012|Artes escénicas y espectáculos,2012|Música y conciertos,"2012|Libros, impresiones y prensa",2012|Medios audiovisuales,2012|Artesanías,2012|Diseño y servicios creativos,2012|Patrimonio cutural y natural,2012|Formación y difusión cultural,2012|Contenidos digitales e internet,2012|Total cultura,2012|Valor agregado bruto,2013|Artes visuales y plásticas,2013|Artes escénicas y espectáculos,2013|Música y conciertos,"2013|Libros, impresiones y prensa",2013|Medios audiovisuales,2013|Artesanías,2013|Diseño y servicios creativos,2013|Patrimonio cutural y natural,2013|Formación y difusión cultural,2013|Contenidos digitales e internet,2013|Total cultura,2013|Valor agregado bruto,2014|Artes visuales y plásticas,2014|Artes escénicas y espectáculos,2014|Música y conciertos,"2014|Libros, impresiones y prensa",2014|Medios audiovisuales,2014|Artesanías,2014|Diseño y servicios creativos,2014|Patrimonio cutural y natural,2014|Formación y difusión cultural,2014|Contenidos digitales e internet,2014|Total cultura,2014|Valor agregado bruto,2015|Artes visuales y plásticas,2015|Artes escénicas y espectáculos,2015|Música y conciertos,"2015|Libros, impresiones y prensa",2015|Medios audiovisuales,2015|Artesanías,2015|Diseño y servicios creativos,2015|Patrimonio cutural y natural,2015|Formación y difusión cultural,2015|Contenidos digitales e internet,2015|Total cultura,2015|Valor agregado bruto,2016|Artes visuales y plásticas,2016|Artes escénicas y espectáculos,2016|Música y conciertos,"2016|Libros, impresiones y prensa",2016|Medios audiovisuales,2016|Artesanías,2016|Diseño y servicios creativos,2016|Patrimonio cutural y natural,2016|Formación y difusión cultural,2016|Contenidos digitales e internet,2016|Total cultura,2016|Valor agregado bruto,2017|Artes visuales y plásticas,2017|Artes escénicas y espectáculos,2017|Música y conciertos,"2017|Libros, impresiones y prensa",2017|Medios audiovisuales,2017|Artesanías,2017|Diseño y servicios creativos,2017|Patrimonio cutural y natural,2017|Formación y difusión cultural,2017|Contenidos digitales e internet,2017|Total cultura,2017|Valor agregado bruto,2018|Artes visuales y plásticas,2018|Artes escénicas y espectáculos,2018|Música y conciertos,"2018|Libros, impresiones y prensa",2018|Medios audiovisuales,2018|Artesanías,2018|Diseño y servicios creativos,2018|Patrimonio cutural y natural,2018|Formación y difusión cultural,2018|Contenidos digitales e internet,2018|Total cultura,2018|Valor agregado bruto,2019|Artes visuales y plásticas,2019|Artes escénicas y espectáculos,2019|Música y conciertos,"2019|Libros, impresiones y prensa",2019|Medios audiovisuales,2019|Artesanías,2019|Diseño y servicios creativos,2019|Patrimonio cutural y natural,2019|Formación y difusión cultural,2019|Contenidos digitales e internet,2019|Total cultura,2019|Valor agregado bruto<C1>,2020|Artes visuales y plásticas,2020|Artes escénicas y espectáculos,2020|Música y conciertos,"2020|Libros, impresiones y prensa",2020|Medios audiovisuales,2020|Artesanías,2020|Diseño y servicios creativos,2020|Patrimonio cutural y natural,2020|Formación y difusión cultural,2020|Contenidos digitales e internet,2020|Total cultura,2020|Valor agregado bruto<C1>,2021|Artes visuales y plásticas,2021|Artes escénicas y espectáculos,2021|Música y conciertos,"2021|Libros, impresiones y prensa",2021|Medios audiovisuales,2021|Artesanías,2021|Diseño y servicios creativos,2021|Patrimonio cutural y natural,2021|Formación y difusión cultural,2021|Contenidos digitales e internet,2021|Total cultura,2021|Valor agregado bruto<C1>,2022|Artes visuales y plásticas<P>,2022|Artes escénicas y espectáculos<P>,2022|Música y conciertos<P>,"2022|Libros, impresiones y prensa<P>",2022|Medios audiovisuales<P>,2022|Artesanías<P>,2022|Diseño y servicios creativos<P>,2022|Patrimonio cutural y natural<P>,2022|Formación y difusión cultural<P>,2022|Contenidos digitales e internet<P>,2022|Total cultura<P>,"2022|Valor agregado bruto<C2,P>",2023|Artes visuales y plásticas<P>,2023|Artes escénicas y espectáculos<P>,2023|Música y conciertos<P>,"2023|Libros, impresiones y prensa<P>",2023|Medios audiovisuales<P>,2023|Artesanías<P>,2023|Diseño y servicios creativos<P>,2023|Patrimonio cutural y natural<P>,2023|Formación y difusión cultural<P>,2023|Contenidos digitales e internet<P>,2023|Total cultura<P>,"2023|Valor agregado bruto<C2,P>"
Millones de pesos a precios corrientes|Nacional,13509.062999999998,21262.816000000003,48368.886,49340.22600000001,72725.08600000001,63720.57000000001,55078.04,25041.537999999997,30011.451000000005,106899.66699999999,485957.3429999999,12612095.836000001,13137.868999999995,21908.986000000008,53673.73200000001,51486.316000000006,72823.723,63446.577000000005,55692.31199999998,25999.261000000002,30739.779,110923.57300000002,499832.1280000001,12245032.569,14067.360000000002,23218.756999999994,47462.17799999999,46858.723,71410.39499999999,69438.405,57291.343,27049.335000000003,30446.851000000002,113631.90600000003,500875.25299999997,13424766.766000003,15195.859999999999,24746.047000000006,58129.09000000001,48224.88999999999,79280.17200000002,76544.14600000001,58912.36,28284.969999999998,31130.453,110670.05499999998,531118.0430000001,14762356.073000003,16266.530000000004,26357.725000000006,48884.161,52484.97899999999,86556.496,83551.393,63496.712000000014,30425.462000000003,32855.44900000001,109254.088,550132.9950000001,16046850.337000001,16968.060999999998,27691.417,44925.49799999999,49620.699,96570.98800000004,85014.57799999998,63866.41500000002,31605.76800000001,33272.761999999995,111105.03900000002,560641.2249999999,16319823.384000001,18091.799999999996,28688.386,45750.277999999984,50375.42,118081.28199999999,88501.93499999998,68119.405,31940.576,34270.513999999996,113323.30600000003,597142.9019999998,17234932.712,19350.225000000002,30544.777999999995,52522.598000000005,52733.10999999999,135656.11800000002,97451.451,74946.92099999999,34861.30299999999,35038.576,111293.09600000003,644398.176,18157883.874,21896.397999999997,33267.647,50561.23,55132.401,134782.336,101654.76799999998,79101.58000000002,34833.941999999995,35393.01700000001,106972.35499999998,653595.6740000001,19500423.537999995,22724.322999999993,35312.172000000006,48531.09299999999,55458.529999999984,148035.98,111375.76699999999,82568.321,37266.362,35630.536,114890.06799999998,691793.152,21324106.387000006,24354.558,38475.46000000001,46995.836,53470.56800000001,150098.69199999995,122449.51999999999,86444.208,40519.42999999999,38030.928,121351.238,722190.4380000002,22873645.546,24657.778000000002,40586.71000000001,60354.778000000006,51668.37499999999,148835.14399999997,126993.27599999998,87334.222,40963.032999999996,38996.47600000001,125212.85500000001,745602.647,23692121.149000004,17299.530999999995,29914.990999999998,29271.889999999996,38535.36299999999,103029.63999999997,116376.98999999998,80262.769,34997.031,39025.817,125277.94799999996,613991.9699999999,22617653.57,21045.795,35673.143000000004,28361.212999999996,41744.721,112454.10599999997,137622.23400000003,91703.90800000001,37757.651000000005,39320.96300000001,135302.87399999998,680986.6079999999,25109421.263000004,31095.127,47850.07799999999,25628.974000000006,55192.676,145572.097,155318.3670000001,105174.72399999999,44204.192,40456.62300000001,139550.003,790042.8610000003,28096618.922999714,34246.934000000016,54437.909999999996,24344.267999999993,51787.13300000001,144711.20500000005,156356.34,111655.53499999999,50947.29300000001,43573.40900000001,148902.64900000003,820962.676,29938940.74099998
Millones de pesos a precios corrientes|Nacional|Aguascalientes,51.92,334.485,287.23,365.435,329.766,198.621,548.094,191.245,510.308,350.141,3167.2450000000003,129629.53899999999,51.554,345.494,319.823,378.98,340.911,197.199,554.739,195.48,521.163,382.83,3288.1730000000002,127359.814,54.625,372.292,290.8,338.171,333.395,214.896,564.189,203.414,511.005,406.999,3289.786,141539.04000000004,57.8,387.559,345.876,347.894,372.445,237.88,579.996,205.812,519.755,390.55,3445.567,152758.425,61.121,413.952,295.961,378.437,431.224,265.875,631.637,218.002,548.491,413.489,3658.189,170110.42500000002,62.867,439.543,264.374,356.083,499.939,274.444,633.848,229.364,551.473,429.938,3741.873,179059.05800000002,66.283,450.411,266.021,359.381,661.857,285.86,676.157,239.133,565.355,432.028,4002.486,199115.08299999998,70.97,484.182,311.803,373.63,743.385,311.348,747.146,261.943,577.025,418.958,4300.39,223942.956,79.863,535.06,309.315,375.667,702.674,328.569,788.981,269.139,579.245,289.064,4257.577,254438.729,82.573,582.04,295.661,394.481,742.677,366.552,826.307,278.037,577.865,257.537,4403.7300000000005,277878.00800000003,89.073,638.98,280.909,381.049,725.607,402.591,858.038,302.51,617.288,272.354,4568.399,307375.128,94.65,704.026,383.541,366.159,766.755,418.01,877.278,303.723,627.952,166.319,4708.4130000000005,320002.97,72.296,488.021,178.612,267.943,462.532,417.945,815.126,204.758,633.52,288.779,3829.5319999999997,323751.391,90.668,585.072,171.539,281.686,446.697,470.225,905.137,291.084,635.809,282.289,4160.205999999999,344963.204,119.61,777.625,163.928,415.35,578.063,553.69,1075.928,261.777,647.506,303.761,4897.238000000001,362887.8040761705,126.287,871.609,151.343,382.572,596.456,589.923,1143.941,304.224,688.221,315.873,5170.4490000000005,394033.6261488169
Millones de pesos a precios corrientes|Nacional|Baja California,230.259,1228.901,5239.175,766.431,5684.697,615.647,1192.525,419.058,995.872,2447.077,18819.642,453509.35799999995,221.146,1257.694,5753.071,792.375,5696.248,601.366,1177.042,420.72,1019.37,2539.779,19478.810999999998,422475.045,236.16,1316.978,4658.47,727.671,4803.486,645.012,1209.194,443.745,1002.213,2601.809,17644.738,442638.0899999999,252.419,1400.609,6284.118,750.24,5967.541,748.523,1248.209,464.222,1021.949,2534.241,20672.071000000004,462686.12,263.947,1460.825,5014.124,805.933,5341.15,817.643,1335.548,498.136,1080.327,2498.1,19115.733,507856.46200000006,273.69,1544.039,4986.308,769.285,5609.23,811.191,1349.686,521.556,1088.613,2546.323,19499.921000000002,512567.307,288.668,1600.856,5284.924,784.09,6348.662,857.353,1447.8,521.555,1119.346,2594.393,20847.647,553851.61,330.21,1757.219,5779.057,818.72,7555.22,935.478,1587.861,569.818,1144.76,2553.074,23031.416999999998,630244.889,370.704,1845.542,5379.965,858.583,7772.794,896.869,1649.088,573.741,1153.325,2229.632,22730.243000000002,703422.9539999999,369.898,1916.249,5147.229,868.737,8394.844,1009.342,1753.933,615.26,1155.552,2366.056,23597.1,772601.5249999999,403.89,2153.359,5222.757,846.601,8505.152,1166.232,1841.631,671.684,1237.072,2485.813,24534.191,824068.035,397.499,2304.951,6398.917,794.788,9479.284,1187.791,1857.372,751.909,1262.43,2573.191,27008.131999999998,873741.353,282.393,1618.64,3010.325,615.67,5801.705,1166.494,1723.809,518.339,1274.971,2593.795,18606.141,856095.85,351.252,1851.33,2952.556,674.065,5993.811,1274.302,1993.344,483.841,1288.14,2844.964,19707.605,955462.541,479.537,2280.9,2100.812,792.653,5941.037,1449.497,2222.772,589.282,1317.227,2930.626,20104.342999999997,1081515.5143046407,507.57,2508.028,1775.149,733.945,5489.206,1472.173,2367.176,796.246,1406.423,3194.955,20250.871,1154998.1158851422
Millones de pesos a precios corrientes|Nacional|Baja California Sur,143.429,116.119,111.723,149.204,208.335,1195.091,234.475,205.043,246.442,155.139,2765,88214.354,138.757,115.137,124.008,154.336,216.881,1135.238,222.829,210.632,251.806,154.288,2723.9120000000003,87787.666,147.62,122.153,111.052,142.712,243.897,1214.932,227.259,211.859,247.153,156.189,2824.8259999999996,92716.80099999999,163.004,133.3,134.7,148.3,268.739,1460.024,237.812,230.854,251.636,158.409,3186.778,100182.47600000001,174.516,142.903,113.482,158.755,299.122,1608.286,260.96,244.422,265.618,153.704,3421.7680000000005,106102.942,184.88,152.209,100.602,151.086,328.241,1581.442,264.883,253.81,267.3,154.511,3438.964,107385.527,198.732,159.496,102.075,154.03,363.519,1652.647,282.135,259.866,274.204,160.01,3606.714,113570.11999999998,211.853,168.883,120.476,160.047,406.301,1796.798,312.717,283.624,280.01,158.45,3899.1590000000006,125749.3,237.906,180.343,116.879,166.095,460.315,1698.228,306.184,282.485,281.588,170.289,3900.312000000001,139713.953,254.233,199.835,113.393,167.47,518.066,1923.495,325.435,302.518,281.261,191.75,4277.456,155787.872,273.736,217.963,108.196,162.35,558.536,2237.778,338.78,334.098,300.543,203.648,4735.628,175398.34,275.107,227.775,137.981,152.27,535.219,2231.644,328.857,245.177,307.077,233.1,4674.207,175071.027,179.696,140.17,64.496,113.439,263.616,2249.429,307.269,206.426,309.55,237.092,4071.183,154981.444,236.076,189.835,60.336,120.821,341.548,2359.265,352.269,228.106,310.22,269.606,4468.081999999999,183072.625,365.432,286.21,64.978,197.901,506.09,2702.021,432.394,274.464,316.441,290.973,5436.9039999999995,208204.8607745277,406.853,332.17,61.808,184.324,550.88,2820.597,455.25,342.2,337.126,300.991,5792.199,219781.04338123187
Millones de pesos a precios corrientes|Nacional|Campeche,14.934,41.544,259.375,383.703,198.167,331.996,192.649,157.349,180.336,325.5,2085.553,719038.5830000001,14.868,44.786,289.862,399.555,208.292,332.935,197.565,164.749,184.004,309.02,2145.636,511927.44899999996,16.186,50.532,260.947,357.357,227.064,376.105,205.258,182.71,180.542,332.749,2189.45,588859.122,17.093,53.757,312.987,366.178,248.03,421.83,207.014,196.325,183.053,347.367,2353.6340000000005,754859.1610000001,17.809,56.245,264.091,395.12,275.08,440.905,229.917,210.37,192.83,357.441,2439.8079999999995,741483.1669999999,18.121,59.288,232.492,372.24,304.078,465.365,220.856,217.96,193.731,347.506,2431.6369999999997,676393.935,19.041,60.572,233.297,377.222,348.264,479.048,232.046,223.598,198.461,355.33,2526.879,678355.0270000001,20.284,64.203,276.273,390.775,384.084,546.692,253.565,245.858,202.069,351.199,2735.002,452708.62200000003,20.958,80.938,266.99,405.208,400.357,595.341,255.85,237.108,202.318,354.474,2819.5420000000004,429360.77200000006,21.091,68.14,254.334,410.1,440.107,635.455,264.404,249.55,201.575,408.655,2953.411,507673.164,25.261,81.637,238.214,394.606,451.487,720.484,275.369,264.04,214.603,444.375,3110.076,555407.927,20.017,78.724,315.407,375.164,449.707,731.511,277.874,280.772,216.321,488.069,3233.5659999999993,626896.17,15.719,57.592,148.538,281.881,301.298,535.52,250.548,298.234,217.21,442.401,2548.941,454031.009,20.012,72.001,134.293,296.95,372.352,722.945,292.37,271.096,216.61,507.338,2905.967,470184.267,25.547,86.03,121.696,450.53,548.554,813.978,403.467,304.254,220.167,561.718,3535.941,479281.7509377975,27.361,103.524,110.113,400.185,573.846,814.82,406.644,331.59,233.376,631.255,3632.714000000001,532038.9916667567
Millones de pesos a precios corrientes|Nacional|Coahuila de Zaragoza,291.634,260.478,629.232,926.656,533.77,230.581,1260.418,879.52,420.873,784.482,6217.644,434274.3520000001,279.886,274.081,704.241,948.112,531.559,226.869,1274.348,896.25,431.633,856.884,6423.862999999999,383621.96400000004,299.44,286.254,636.736,899.134,575.464,246.123,1338.632,929.306,433.354,905.039,6549.482,468466.096,320.54,309.655,759.063,932.796,616.646,275.907,1395.9,972.808,444.912,865.014,6893.241,537257.9920000001,341.562,327.154,636.394,985.957,698.916,304.494,1531.072,1052.516,468.158,907.405,7253.628000000001,596055.828,350.311,341.714,569.311,952.728,772.847,307.043,1596.735,1085.879,478.265,945.001,7399.834000000001,586677.3559999999,369.035,352.891,577.554,966.677,889.768,321.402,1673.498,1067.041,494.215,951.37,7663.451000000001,636704.0819999999,393.817,368.615,681.207,1002.38,1033.883,348.417,1898.202,1180.881,504.896,921.362,8333.66,695517.138,431.205,391.425,659.888,1035.232,1094.981,357.379,2013.9,1165.08,511.453,452.748,8113.290999999999,755148.722,454.697,415.729,630.421,1038.423,1216.295,398.52,2025.704,1243.204,518.732,611.337,8553.062,838308.3710000002,488.825,456.689,610.116,1012.303,1239.581,441.843,2108.359,1308.469,550.708,666.123,8883.016,907746.098,477.055,481.424,792.447,938.824,1188.419,445.224,2162.706,956.223,569.999,533.604,8545.925,938550.914,356.617,388.885,394.309,723.882,616.269,415.35,1872.514,1645.617,561.456,619.126,7594.025,890089.78,423.134,473.45,345.635,752.909,755.375,471.621,2093.677,1897.582,562.463,623.224,8399.07,1009241.054,605.135,628.474,360.208,1109.49,1062.124,538.237,2417.161,1400.313,585.161,662.996,9369.298999999999,1086544.257756119,662.925,720.7,349.003,955.145,1206.359,556.326,2605.227,1691.727,639.004,630.962,10017.378,1136106.8781969114
Millones de pesos a precios corrientes|Nacional|Colima,80.404,89.163,161.981,165.63,142.738,211.099,181.857,119.363,193.311,121.151,1466.697,74086.44,77.836,89.708,179.263,174.277,151.013,209.712,182.06,121.841,197.079,119.564,1502.353,74360.147,83.165,95.095,163.752,156.903,163.149,227.337,186.399,125.881,192.601,120.147,1514.429,81953.158,89.521,101.211,190.947,158.723,177.202,253.482,191.706,132.166,195.518,121.184,1611.6599999999999,91018.582,94.917,108.157,159.657,164.621,201.639,281.349,206.721,143.059,206.154,116.962,1683.2359999999999,97479.56,99.159,114.759,142.181,155.178,223.958,288.708,207.475,147.333,206.782,117.691,1703.224,100290.41,104.824,121.065,141.804,154.732,258.027,302.639,219.21,147.425,211.448,121.541,1782.715,105090.812,111.713,128.068,165.338,159.884,288.377,329.505,242.566,162.58,215.544,118.945,1922.5200000000002,113145.667,125.569,138.835,162.812,169.087,289.137,342.707,252.41,154.638,215.758,114.807,1965.76,118979.45499999999,133.075,151.678,156.538,174.889,325.958,382.811,266.927,163.055,214.406,121.3,2090.637,135970.742,146.34,166.801,167.553,193.325,342.905,424.77,281.174,174.484,228.831,128.649,2254.832,149814.724,150.972,176.868,198.881,178.271,366.447,445.025,280.425,166.665,232.664,88.491,2284.709,163969.311,103.322,137.773,103.639,136.784,187.669,440.06,279.742,173.018,234.893,131.035,1927.9350000000002,155638.998,127.6,166.247,74.603,134.449,220.163,491.363,307.616,186.507,233.941,143.992,2086.481,162740.529,197.788,207.697,173.101,280.273,269.237,575.943,372.688,157.15,237.419,152.253,2623.549,177712.7419983455,220.802,241.669,181.68,284.774,307.974,607.881,393.686,144.064,251.229,163.626,2797.385,191714.18430659868
Millones de pesos a precios corrientes|Nacional|Chiapas,111.553,188.38,1620.181,1533.227,591.535,1655.624,608.244,667.146,561.295,452.761,7989.946,220476.409,108.463,185.542,1803.112,1602.143,594.787,1695.165,630.311,678.832,575.027,468.798,8342.18,220833.959,112.556,184.86,1640.223,1411.778,683.256,1878.395,659.916,714.485,567.324,482.328,8335.121,246335.437,118.976,200.317,1946.739,1441.82,724.199,2076.488,657.932,743.312,579.796,473.642,8963.220999999998,266345.657,121.559,207.817,1663.83,1561.741,782.044,2233.872,713.815,777.559,612.883,476.33,9151.45,289492.37600000005,122.222,190.757,1484.437,1452.749,865.335,2284.981,684,817.875,619.179,487.267,9008.802,287067.82000000007,135.392,219.558,1492.055,1467.677,1024.451,2388.736,724.62,853.012,637.549,495.941,9438.991,304096.85099999997,147.198,220.407,1747.581,1523.02,1121.858,2622.549,847.713,926.669,652.451,482.084,10291.53,303575.034,177.513,216.419,1679.673,1600.107,1102.437,3014.523,874.675,896.501,658.463,536.258,10756.569,326366.61000000004,165.642,240.327,1612.046,1618.529,1164.337,3331.994,893.229,967.523,661.785,590.472,11245.883999999998,328005.10599999997,180.07,225.644,1530.589,1544.498,1135.816,3777.621,926.121,1049.226,708.339,627.446,11705.37,340219.119,180.487,237.531,1938.401,1528.42,1206.744,3911.253,906.685,1034.58,726.001,1072.73,12742.831999999999,348165.381,155.905,203.556,942.513,1106.876,706.548,3382.754,806.561,857.079,731.707,552.386,9445.885,352010.727,146.016,201.642,897.899,1192.535,812.094,4176.399,965.404,955.437,740.035,568.835,10656.296000000002,389509.939,166.678,229.707,666.666,1092.627,1050.257,4702.542,901.575,1027.323,759.354,601.359,11198.088000000002,447239.72994522797,183.139,285.738,656.411,1028.011,1103.677,4740.828,871.356,1233.981,814.943,678.92,11597.003999999999,469928.6640588519
Millones de pesos a precios corrientes|Nacional|Chihuahua,344.177,318.978,1344.294,715.001,6432.287,234.629,896.5,515.1,881.215,1479.37,13161.551000000003,421196.61100000003,331.629,320.929,1485.513,745.469,5216.554,233.647,910.803,529.947,899.873,1529.786,12204.15,397510.17199999996,357.505,338.257,1244.241,670.756,4636.459,248.753,934.741,546.261,879.608,1627.822,11484.403,425492.076,387.408,370.248,1610.922,694.977,4646.253,277.187,959.787,582.95,893.644,1610.243,12033.619,448674.11899999995,418.481,396.272,1303.391,757.356,5128.172,302.182,1037.479,627.362,943.889,1673.571,12588.154999999997,515611.08499999996,441.007,417.989,1233.686,712.473,5601.097,304.241,1040.242,649.495,946.965,1694.067,13041.262000000002,525204.5959999999,467.143,432.722,1281.438,718.517,6667.769,321.2,1111.192,646.96,970.181,1714.987,14332.109,563680.4949999999,496.175,460.162,1444.057,749.628,9538.803,346.042,1230.782,703.476,990.397,1680.221,17639.743000000002,656167.4730000001,555.366,500.95,1343.123,780.74,11425.815,340.376,1297.133,698.83,993.136,1310.967,19246.436,715043.193,594.039,542.473,1278.965,792.958,13920.972,387.588,1352.319,740.682,989.064,1521.052,22120.111999999997,779329.6909999999,635.09,589.056,1256.57,765.124,14178.275,420.169,1413.966,805.011,1058.046,1623.003,22744.309999999998,809521.347,658.859,593.927,1558.461,725.884,14607.188,437.776,1469.552,802.377,1074.407,1501.347,23429.778000000002,848819.142,423.091,408.317,695.616,526.8,11692.646,421.955,1355.421,752.872,1089.104,1685.445,19051.267,826421.94,557.426,536.246,658.462,571.646,12344.057,468.114,1551.583,948.285,1095.033,1802.476,20533.327999999998,919820.848,865.779,788.433,443.834,622.916,13427.71,538.088,1728.368,1191.884,1112.07,1955.266,22674.347999999994,1066521.4752704832,958.576,907.818,371.057,574.56,12132.869,538.978,1863.529,1117.493,1177.294,2176.672,21818.845999999998,1130863.446348764
Millones de pesos a precios corrientes|Nacional|Ciudad de México,3232.953,6053.759,9401.869,15830.3,29069.019,3071.979,25462.388,6008.463,5732.398,73156.843,177019.971,2102607.3820000007,3134.893,6193.675,10438.211,16291.778,30570.277,2991.094,25633.163,6186.591,5867.524,76243.823,183551.029,2108851.019,3352.559,6634.38,9437.741,15303.692,31659.653,3231.663,26313.307,6485.513,5816.046,78003.231,186237.785,2251457.263,3680.005,7053.942,11243.36,15727.013,34781.314,3709.953,27205.209,6879.123,5939.242,75616.456,191835.617,2408000.1580000003,3912.437,7519.172,9532.037,17143.739,38789.118,4122.906,29224.402,7345.994,6260.861,74393.204,198243.87,2580935.2630000003,4102.474,7950.928,8509.031,16274.858,43457.022,4105.729,29538.236,7601.463,6340.614,75689.069,203569.424,2690514.158,4388.284,8196.997,8471.11,16549.696,52877.919,4265.421,31539.917,7752.158,6526.856,77179.59,217747.948,2794499.0349999997,4703.386,8672.913,9931.925,17455.553,57949.766,4664.677,34225.528,8404.925,6664.774,75862.73,228536.17699999997,2943764.159,5349.467,9525.184,9684.501,18152.592,54628.973,4689.29,36133.67,8232.549,6721.746,73691.692,226809.664,3108684.602,5511.44,10045.054,9262.381,18249.819,59416.23,5239.017,37911.702,8520.755,6761.64,78854.836,239772.874,3302232.2580000004,5891.953,10910.313,8842.282,17405.57,61543.102,5965.914,39782.242,9105.848,7202.893,83200.662,249850.77899999998,3482680.222,5950.303,11269.459,11667.758,16750.524,56974.8,6014.585,40039.575,8533.63,7367.353,85740.899,250308.88600000003,3559947.926,3967.058,8202.068,5726.186,12562.6,44434.376,5841.597,37012.265,9840.534,7347.783,86048.844,220983.311,3324121.431,5174.06,10355.408,5413.862,13683.851,50647.924,6528.437,42000.071,10517.55,7382.464,93057.398,244761.02500000002,3639145.695,7752.072,13905.07,5572.704,18102.427,73659.648,7387.281,47217.335,10224.08,7592.184,95302.572,286715.373,4065120.1570814946,8477.332,15687.495,5510.506,17466.586,73544.851,7637.451,51262.975,11585.051,8173.613,101900.309,301246.169,4364474.398247072
Millones de pesos a precios corrientes|Nacional|Durango,100.085,89.356,296.242,365.848,165.949,312.192,316.245,305.067,263.637,169.633,2384.254,160969.54299999998,94.058,94.272,329.699,381.782,173.323,326.831,317.257,316.974,271.058,172.263,2477.517,167518.843,103.806,99.282,300.549,339.502,185.294,338.78,326.31,336.047,269.143,175.27,2473.9829999999997,175570.65099999998,108.796,105.248,356.418,348.039,203.101,357.753,333.545,348.113,276.839,174.552,2612.404,202199.184,115.318,114.584,306.268,377.248,232.011,389.613,364.914,376.411,293.331,172.013,2741.711,222272.473,116.866,115.261,274.259,353.303,261.235,396.682,364.202,385.786,297.967,174.838,2740.3990000000003,231556.224,125.708,120.737,276.214,356.386,317.143,424.286,389.067,389.225,308.237,180.73,2887.733,242785.502,130.233,127.067,322.628,369.781,355.122,452.898,422.646,426.812,316.604,177.057,3100.848,249203.24999999997,143.777,133.672,313.419,387.653,360.633,456.855,439.217,426.285,321.602,173.525,3156.638,269791.282,150.271,146.336,301.883,391.871,390.685,537.846,447.528,462.517,325.787,191.372,3346.0959999999995,286217.232,159.909,165.671,286.66,375.95,391.259,551.391,474.992,501.113,349.763,202.949,3459.657,296519.184,162.904,172.352,370.386,359.521,446.695,592.17,482.92,505.047,361.235,212.015,3665.245,310738.525,129.276,125.656,175.837,262.778,245.857,611.653,439.679,525.131,364.218,225.186,3105.2709999999997,306629.516,149.362,144.355,173.067,281.506,277.316,675.764,519.517,617.542,371.291,238.271,3447.991,347701.175,205.599,185.956,190.911,485.446,374.93,789.514,662.769,515.425,383.986,250.438,4044.974,371565.33258173685,225.406,233.171,180.888,453.517,425.132,769.903,669.835,579.979,416.317,289.662,4243.81,398228.74657836894
